epsilon,original,privado
0.085,-13.196813789406583,-13.195458751628312
0.090,-13.196813789406583,-13.195534031504883
0.095,-13.196813789406583,-13.195601387183919
0.100,-13.196813789406583,-13.195662007295052
0.005,-14.549135601441241,-14.527101508872784
0.010,-14.549135601441241,-14.538118555157013
0.015,-14.549135601441241,-14.541790903918422
0.020,-14.549135601441241,-14.543627078299126
0.025,-14.549135601441241,-14.54472878292755
0.030,-14.549135601441241,-14.545463252679832
0.035,-14.549135601441241,-14.545987873931463
0.040,-14.549135601441241,-14.546381339870184
0.045,-14.549135601441241,-14.546687368933634
0.050,-14.549135601441241,-14.546932192184396
0.055,-14.549135601441241,-14.547132502116837
0.060,-14.549135601441241,-14.547299427060537
0.065,-14.549135601441241,-14.547440671243669
0.070,-14.549135601441241,-14.547561737686351
0.075,-14.549135601441241,-14.547666661936677
0.080,-14.549135601441241,-14.547758470655713
0.085,-14.549135601441241,-14.54783947834898
0.090,-14.549135601441241,-14.547911485187438
0.095,-14.549135601441241,-14.547975912358691
0.100,-14.549135601441241,-14.548033896812818
0.005,-15.260770824479389,-15.237308596281492
0.010,-15.260770824479389,-15.24903971038044
0.015,-15.260770824479389,-15.252950081746757
0.020,-15.260770824479389,-15.254905267429914
0.025,-15.260770824479389,-15.25607837883981
0.030,-15.260770824479389,-15.256860453113072
0.035,-15.260770824479389,-15.257419077593974
0.040,-15.260770824479389,-15.257838045954651
0.045,-15.260770824479389,-15.258163910235178
0.050,-15.260770824479389,-15.258424601659598
0.055,-15.260770824479389,-15.258637894643217
0.060,-15.260770824479389,-15.25881563879623
0.065,-15.260770824479389,-15.258966037694934
0.070,-15.260770824479389,-15.259094951036682
0.075,-15.260770824479389,-15.259206675932862
0.080,-15.260770824479389,-15.25930443521702
0.085,-15.260770824479389,-15.259390693408925
0.090,-15.260770824479389,-15.259467367357283
0.095,-15.260770824479389,-15.25953597036371
0.100,-15.260770824479389,-15.259597713069494
0.005,-14.264386666156671,-14.241862927086634
0.010,-14.264386666156671,-14.253124796621652
0.015,-14.264386666156671,-14.256878753133325
0.020,-14.264386666156671,-14.258755731389162
0.025,-14.264386666156671,-14.259881918342664
0.030,-14.264386666156671,-14.260632709644998
0.035,-14.264386666156671,-14.261168989146666
0.040,-14.264386666156671,-14.261571198772916
0.045,-14.264386666156671,-14.261884028482223
0.050,-14.264386666156671,-14.262134292249668
0.055,-14.264386666156671,-14.26233905351394
0.060,-14.264386666156671,-14.262509687900835
0.065,-14.264386666156671,-14.262654070843592
0.070,-14.264386666156671,-14.262777827651668
0.075,-14.264386666156671,-14.262885083552002
0.080,-14.264386666156671,-14.262978932464794
0.085,-14.264386666156671,-14.263061740329022
0.090,-14.264386666156671,-14.263135347319446
0.095,-14.264386666156671,-14.263201206205617
0.100,-14.264386666156671,-14.263260479203169
0.005,-13.86799204344841,-13.848500346176314
0.010,-13.86799204344841,-13.858246194812361
0.015,-13.86799204344841,-13.861494811024379
0.020,-13.86799204344841,-13.863119119130387
0.025,-13.86799204344841,-13.86409370399399
0.030,-13.86799204344841,-13.864743427236395
0.035,-13.86799204344841,-13.865207515266682
0.040,-13.86799204344841,-13.865555581289398
0.045,-13.86799204344841,-13.865826299307066
0.050,-13.86799204344841,-13.8660428737212
0.055,-13.86799204344841,-13.86622007096913
0.060,-13.86799204344841,-13.866367735342402
0.065,-13.86799204344841,-13.866492682119787
0.070,-13.86799204344841,-13.866599779357546
0.075,-13.86799204344841,-13.866692596963604
0.080,-13.86799204344841,-13.866773812368905
0.085,-13.86799204344841,-13.86684547302064
0.090,-13.86799204344841,-13.866909171377738
0.095,-13.86799204344841,-13.866966164644616
0.100,-13.86799204344841,-13.867017458584806
0.005,-14.057740779656214,-14.036885465702506
0.010,-14.057740779656214,-14.04731312267936
0.015,-14.057740779656214,-14.050789008338311
0.020,-14.057740779656214,-14.052526951167787
0.025,-14.057740779656214,-14.053569716865473
0.030,-14.057740779656214,-14.054264893997264
0.035,-14.057740779656214,-14.054761449091398
0.040,-14.057740779656214,-14.055133865412001
0.045,-14.057740779656214,-14.055423522550246
0.050,-14.057740779656214,-14.055655248260843
0.055,-14.057740779656214,-14.055844842024058
0.060,-14.057740779656214,-14.056002836826739
0.065,-14.057740779656214,-14.056136524736699
0.070,-14.057740779656214,-14.056251114373806
0.075,-14.057740779656214,-14.056350425392633
0.080,-14.057740779656214,-14.056437322534107
0.085,-14.057740779656214,-14.056513996482467
0.090,-14.057740779656214,-14.05658215110323
0.095,-14.057740779656214,-14.056643131553388
0.100,-14.057740779656214,-14.05669801395853
0.005,-13.897106955828779,-13.868952281991282
0.010,-13.897106955828779,-13.883029618910031
0.015,-13.897106955828779,-13.887722064549614
0.020,-13.897106955828779,-13.890068287369404
0.025,-13.897106955828779,-13.89147602106128
0.030,-13.897106955828779,-13.892414510189196
0.035,-13.897106955828779,-13.89308485956628
0.040,-13.897106955828779,-13.893587621599092
0.045,-13.897106955828779,-13.893978658735724
0.050,-13.897106955828779,-13.89429148844503
0.055,-13.897106955828779,-13.89454744002537
0.060,-13.897106955828779,-13.894760733008987
0.065,-13.897106955828779,-13.894941211687433
0.070,-13.897106955828779,-13.89509590769753
0.075,-13.897106955828779,-13.895229977572946
0.080,-13.897106955828779,-13.895347288713936
0.085,-13.897106955828779,-13.89545079854422
0.090,-13.897106955828779,-13.89554280728225
0.095,-13.897106955828779,-13.895625130889963
0.100,-13.897106955828779,-13.895699222136903
0.005,-12.830032096377067,-12.812556781581355
0.010,-12.830032096377067,-12.821294438979212
0.015,-12.830032096377067,-12.824206991445163
0.020,-12.830032096377067,-12.82566326767814
0.025,-12.830032096377067,-12.826537033417925
0.030,-12.830032096377067,-12.827119543911115
0.035,-12.830032096377067,-12.827535622834823
0.040,-12.830032096377067,-12.827847682027603
0.045,-12.830032096377067,-12.828090394733099
0.050,-12.830032096377067,-12.828284564897496
0.055,-12.830032096377067,-12.82844343139564
0.060,-12.830032096377067,-12.828575820144092
0.065,-12.830032096377067,-12.828687841392782
0.070,-12.830032096377067,-12.828783859605945
0.075,-12.830032096377067,-12.828867075390686
0.080,-12.830032096377067,-12.828939889202335
0.085,-12.830032096377067,-12.829004136683201
0.090,-12.830032096377067,-12.829061245555083
0.095,-12.830032096377067,-12.829112342966766
0.100,-12.830032096377067,-12.829158330637283
0.005,-12.481073083134989,-12.464180278832512
0.010,-12.481073083134989,-12.47262668098375
0.015,-12.481073083134989,-12.475442148367497
0.020,-12.481073083134989,-12.47684988205937
0.025,-12.481073083134989,-12.477694522274493
0.030,-12.481073083134989,-12.478257615751243
0.035,-12.481073083134989,-12.478659825377493
0.040,-12.481073083134989,-12.47896148259718
0.045,-12.481073083134989,-12.479196104879158
0.050,-12.481073083134989,-12.47938380270474
0.055,-12.481073083134989,-12.479537373652946
0.060,-12.481073083134989,-12.479665349443115
0.065,-12.481073083134989,-12.479773636650183
0.070,-12.481073083134989,-12.479866454256241
0.075,-12.481073083134989,-12.47994689618149
0.080,-12.481073083134989,-12.480017282866084
0.085,-12.481073083134989,-12.480079388764254
0.090,-12.481073083134989,-12.480134594007074
0.095,-12.481073083134989,-12.480183988171701
0.100,-12.481073083134989,-12.480228442919865
0.005,-12.39296052360974,-12.376612648478291
0.010,-12.39296052360974,-12.384786586044017
0.015,-12.39296052360974,-12.387511231899257
0.020,-12.39296052360974,-12.388873554826878
0.025,-12.39296052360974,-12.389690948583452
0.030,-12.39296052360974,-12.390235877754499
0.035,-12.39296052360974,-12.390625112876677
0.040,-12.39296052360974,-12.39091703921831
0.045,-12.39296052360974,-12.39114409303958
0.050,-12.39296052360974,-12.391325736096595
0.055,-12.39296052360974,-12.391474353143245
0.060,-12.39296052360974,-12.39159820068212
0.065,-12.39296052360974,-12.391702994753475
0.070,-12.39296052360974,-12.391792818243209
0.075,-12.39296052360974,-12.391870665267644
0.080,-12.39296052360974,-12.391938781414025
0.085,-12.39296052360974,-12.391998883896127
0.090,-12.39296052360974,-12.39205230832466
0.095,-12.39296052360974,-12.392100109129139
0.100,-12.39296052360974,-12.392143129853169
0.005,-12.851525143449155,-12.835688139415533
0.010,-12.851525143449155,-12.843606641432343
0.015,-12.851525143449155,-12.846246142104615
0.020,-12.851525143449155,-12.84756589244075
0.025,-12.851525143449155,-12.848357742642431
0.030,-12.851525143449155,-12.848885642776885
0.035,-12.851525143449155,-12.849262714301496
0.040,-12.851525143449155,-12.849545517944952
0.045,-12.851525143449155,-12.849765476334309
0.050,-12.851525143449155,-12.849941443045793
0.055,-12.851525143449155,-12.850085415809735
0.060,-12.851525143449155,-12.85020539311302
0.065,-12.851525143449155,-12.850306912369646
0.070,-12.851525143449155,-12.850393928875325
