epsilon,original,privado
0.010,-13.897106955828779,-13.853887905585546
0.015,-13.897106955828779,-13.888524460553022
0.020,-13.897106955828779,-13.890670084371962
0.025,-13.897106955828779,-13.90301961193426
0.030,-13.897106955828779,-13.902034169250014
0.035,-13.897106955828779,-13.896163684891834
0.040,-13.897106955828779,-13.896281593758951
0.045,-13.897106955828779,-13.895429471031758
0.050,-13.897106955828779,-13.89559721951146
0.055,-13.897106955828779,-13.891587272419612
0.060,-13.897106955828779,-13.892047246037043
0.065,-13.897106955828779,-13.892332147555793
0.070,-13.897106955828779,-13.892673205289578
0.075,-13.897106955828779,-13.9073501496054
0.080,-13.897106955828779,-13.90670994999436
0.085,-13.897106955828779,-13.895001658081759
0.090,-13.897106955828779,-13.895118619067704
0.095,-13.897106955828779,-13.896948069733275
0.100,-13.897106955828779,-13.89695601403805
0.005,-12.830032096377067,-12.901183657734435
0.010,-12.830032096377067,-12.865607877055751
0.015,-12.830032096377067,-12.825021830072389
0.020,-12.830032096377067,-12.826274396648559
0.025,-12.830032096377067,-12.826774934817891
0.030,-12.830032096377067,-12.827317795077754
0.035,-12.830032096377067,-12.8477916382862
0.040,-12.830032096377067,-12.845571695547559
0.045,-12.830032096377067,-12.838761377760092
0.050,-12.830032096377067,-12.83788844962179
0.055,-12.830032096377067,-12.828542392792059
0.060,-12.830032096377067,-12.828666534757476
0.065,-12.830032096377067,-12.813150883399448
0.070,-12.830032096377067,-12.81435668432642
0.075,-12.830032096377067,-12.82980671340231
0.080,-12.830032096377067,-12.829820799838231
0.085,-12.830032096377067,-12.843404017397857
0.090,-12.830032096377067,-12.842661132896701
0.095,-12.830032096377067,-12.827034877833785
0.100,-12.830032096377067,-12.827184738760948
0.005,-12.481073083134989,-12.5324241455788
0.010,-12.481073083134989,-12.506748614356894
0.015,-12.481073083134989,-12.493119948027811
0.020,-12.481073083134989,-12.490108231804605
0.025,-12.481073083134989,-12.482327902378989
0.030,-12.481073083134989,-12.482118765838322
0.035,-12.481073083134989,-12.480560156234912
0.040,-12.481073083134989,-12.480624272097423
0.045,-12.481073083134989,-12.484309689306125
0.050,-12.481073083134989,-12.483986028689012
0.055,-12.481073083134989,-12.482402679622473
0.060,-12.481073083134989,-12.482291879915183
0.065,-12.481073083134989,-12.485872381465297
0.070,-12.481073083134989,-12.485529574441703
0.075,-12.481073083134989,-12.478782453196805
0.080,-12.481073083134989,-12.478925617567942
0.085,-12.481073083134989,-12.489545345871596
0.090,-12.481073083134989,-12.48907466460845
0.095,-12.481073083134989,-12.49059356848038
0.100,-12.481073083134989,-12.49011754421311
0.005,-12.39296052360974,-12.346832655796412
0.010,-12.39296052360974,-12.369896589703076
0.015,-12.39296052360974,-12.4189768398018
0.020,-12.39296052360974,-12.393330150982564
0.025,-12.39296052360974,-12.393256225507999
0.030,-12.39296052360974,-12.37784278577456
0.035,-12.39296052360974,-12.380002462608157
0.040,-12.39296052360974,-12.390949967364683
0.045,-12.39296052360974,-12.391173362503023
0.050,-12.39296052360974,-12.396703362024354
0.055,-12.39296052360974,-12.396363103986662
